case_id,activity_name,start_timestamp,end_timestamp,resource,agent
1,Turning & Milling - Machine 4,2012-01-29 23:24:00+00:00,2012-01-30 05:43:00+00:00,Machine 4 - Turning & Milling,2
1,Turning & Milling - Machine 4,2012-01-30 05:44:00+00:00,2012-01-30 06:42:00+00:00,Machine 4 - Turning & Milling,2
1,Turning & Milling - Machine 4,2012-01-30 06:59:00+00:00,2012-01-30 07:21:00+00:00,Machine 4 - Turning & Milling,2
1,Turning & Milling - Machine 4,2012-01-30 07:21:00+00:00,2012-01-30 10:58:00+00:00,Machine 4 - Turning & Milling,2
1,Turning & Milling Q.C.,2012-01-31 13:20:00+00:00,2012-01-31 14:50:00+00:00,Quality Check 1,0
1,Laser Marking - Machine 7,2012-02-01 08:18:00+00:00,2012-02-01 08:27:00+00:00,Machine 7- Laser Marking,9
1,Lapping - Machine 1,2012-02-14 00:00:00+00:00,2012-02-14 01:15:00+00:00,Machine 1 - Lapping,4
1,Lapping - Machine 1,2012-02-14 00:00:00+00:00,2012-02-14 01:15:00+00:00,Machine 1 - Lapping,4
1,Lapping - Machine 1,2012-02-14 09:05:00+00:00,2012-02-14 10:20:00+00:00,Machine 1 - Lapping,4
1,Lapping - Machine 1,2012-02-14 09:05:00+00:00,2012-02-14 09:38:00+00:00,Machine 1 - Lapping,4
1,Round Grinding - Machine 3,2012-02-14 09:13:00+00:00,2012-02-14 13:37:00+00:00,Machine 3 - Round Grinding,1
1,Round Grinding - Machine 3,2012-02-14 13:37:00+00:00,2012-02-14 15:27:00+00:00,Machine 3 - Round Grinding,1
1,Final Inspection Q.C.,2012-02-16 06:59:00+00:00,2012-02-16 07:59:00+00:00,Quality Check 1,0
1,Final Inspection Q.C.,2012-02-16 12:11:00+00:00,2012-02-16 16:12:00+00:00,Quality Check 1,0
1,Final Inspection Q.C.,2012-02-16 12:43:00+00:00,2012-02-16 13:58:00+00:00,Quality Check 1,0
1,Packing,2012-02-17 00:00:00+00:00,2012-02-17 01:00:00+00:00,Packing,14
3,Turning & Milling - Machine 5,2012-01-29 07:24:00+00:00,2012-01-29 17:59:00+00:00,Machine 5 - Turning & Milling,12
3,Turning & Milling Q.C.,2012-01-29 16:52:00+00:00,2012-01-29 18:01:00+00:00,Quality Check 1,0
3,Turning & Milling - Machine 4,2012-01-29 20:09:00+00:00,2012-01-29 23:23:00+00:00,Machine 4 - Turning & Milling,2
3,Turning & Milling Q.C.,2012-01-30 07:00:00+00:00,2012-01-30 07:40:00+00:00,Quality Check 1,0
3,Laser Marking - Machine 7,2012-01-30 08:08:00+00:00,2012-01-30 08:28:00+00:00,Machine 7- Laser Marking,9
3,Lapping - Machine 1,2012-02-14 12:42:00+00:00,2012-02-14 13:40:00+00:00,Machine 1 - Lapping,4
3,Round Grinding - Machine 3,2012-02-14 15:27:00+00:00,2012-02-14 16:08:00+00:00,Machine 3 - Round Grinding,1
3,Round Grinding - Machine 3,2012-02-14 16:00:00+00:00,2012-02-14 17:30:00+00:00,Machine 3 - Round Grinding,1
3,Round Grinding - Machine 3,2012-02-14 17:45:00+00:00,2012-02-14 21:34:00+00:00,Machine 3 - Round Grinding,1
3,Round Grinding - Machine 3,2012-02-14 21:34:00+00:00,2012-02-14 22:58:00+00:00,Machine 3 - Round Grinding,1
3,Round Grinding - Machine 3,2012-02-14 22:58:00+00:00,2012-02-14 23:46:00+00:00,Machine 3 - Round Grinding,1
3,Round Grinding - Machine 3,2012-02-14 23:47:00+00:00,2012-02-15 05:41:00+00:00,Machine 3 - Round Grinding,1
3,Final Inspection Q.C.,2012-02-16 08:22:00+00:00,2012-02-16 11:22:00+00:00,Quality Check 1,0
3,Final Inspection Q.C.,2012-02-16 11:15:00+00:00,2012-02-16 12:15:00+00:00,Quality Check 1,0
3,Packing,2012-02-17 00:00:00+00:00,2012-02-17 01:00:00+00:00,Packing,14
6,Turning & Milling - Machine 8,2012-02-06 05:00:00+00:00,2012-02-06 06:30:00+00:00,Machine 8 - Turning & Milling,7
6,Turning & Milling - Machine 8,2012-02-06 06:12:00+00:00,2012-02-06 06:36:00+00:00,Machine 8 - Turning & Milling,7
6,Turning & Milling - Machine 8,2012-02-07 12:40:00+00:00,2012-02-07 15:43:00+00:00,Machine 8 - Turning & Milling,7
6,Turning & Milling - Machine 8,2012-02-07 16:00:00+00:00,2012-02-07 18:52:00+00:00,Machine 8 - Turning & Milling,7
6,Turning & Milling - Machine 8,2012-02-07 20:27:00+00:00,2012-02-08 03:38:00+00:00,Machine 8 - Turning & Milling,7
6,Turning & Milling - Machine 8,2012-02-08 03:39:00+00:00,2012-02-08 06:44:00+00:00,Machine 8 - Turning & Milling,7
6,Turning & Milling Q.C.,2012-02-08 06:50:00+00:00,2012-02-08 14:44:00+00:00,Quality Check 1,0
6,Turning & Milling Q.C.,2012-02-08 06:50:00+00:00,2012-02-08 07:06:00+00:00,Quality Check 1,0
6,Turning & Milling - Machine 8,2012-02-08 07:00:00+00:00,2012-02-08 18:03:00+00:00,Machine 8 - Turning & Milling,7
6,Turning & Milling - Machine 8,2012-02-08 20:39:00+00:00,2012-02-09 00:37:00+00:00,Machine 8 - Turning & Milling,7
6,Flat Grinding - Machine 11,2012-02-09 00:00:00+00:00,2012-02-09 01:15:00+00:00,Machine 11 - Grinding,10
6,Turning & Milling Q.C.,2012-02-09 07:14:00+00:00,2012-02-09 07:23:00+00:00,Quality Check 1,0
6,Flat Grinding - Machine 11,2012-02-10 08:31:00+00:00,2012-02-10 09:16:00+00:00,Machine 11 - Grinding,10
6,Laser Marking - Machine 7,2012-02-12 09:39:00+00:00,2012-02-12 10:26:00+00:00,Machine 7- Laser Marking,9
6,Final Inspection Q.C.,2012-02-13 16:40:00+00:00,2012-02-13 16:41:00+00:00,Quality Check 1,0
6,Packing,2012-02-14 00:00:00+00:00,2012-02-14 01:00:00+00:00,Packing,14
6,Packing,2012-02-14 00:00:00+00:00,2012-02-14 01:00:00+00:00,Packing,14
6,Laser Marking - Machine 7,2012-02-27 00:00:00+00:00,2012-02-27 01:15:00+00:00,Machine 7- Laser Marking,9
9,Turning - Machine 9,2012-01-30 14:38:00+00:00,2012-01-30 15:59:00+00:00,Machine 9 - Turning & Milling,6
9,Turning - Machine 9,2012-01-30 16:07:00+00:00,2012-01-30 17:34:00+00:00,Machine 9 - Turning & Milling,6
